date,account,daily_pnl,trade_count,avg_size_usd,total_fees,win_rate,long_ratio,net_pnl,value,classification,sentiment_binary,risk_segment,frequency_segment,performance_segment
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,6,12789.398333333333,19.184096,0.6666666666666666,0.3333333333333333,-224.61883300000008,72,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,2,5304.975,2.652489,0.0,1.0,-27.284522999999997,70,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,11,5996.891818181818,16.491448000000002,0.6363636363636364,0.0,288.491337,73,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.538612,10,6188.349,15.470867,1.0,0.0,985.067745,73,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,8,8862.46875,17.724932,1.0,0.0,145.00735,74,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,27,2329.095185185185,15.72138,0.9629629629629628,0.0,521.4900220000001,70,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,2,14839.48,7.41974,1.0,0.0,134.412935,74,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,8,6765.20375,13.530405,1.0,0.0,133.406299,70,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1008.619956,17,11881.048823529412,50.494446,0.8823529411764706,0.1764705882352941,958.12551,71,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-245.081348,1,29851.65,7.462911,0.0,0.0,-252.544259,73,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-704.8892269999999,13,6565.618461538462,21.338251999999997,0.3076923076923077,0.0,-726.2274789999999,73,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,13,3813.326153846154,12.3933,0.0,0.0,-983.124176,73,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,508.9221429999999,20,13004.722,65.023603,0.75,0.35,443.89854,65,Greed,Greed,High Risk,Infrequent,Inconsistent
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,354.998648,33,11418.369696969698,94.201537,0.696969696969697,0.2727272727272727,260.797111,68,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53146,6,21962.198333333337,32.943294,0.1666666666666666,0.1666666666666666,-162.47475400000002,65,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,783.979116,9,6698.035555555556,15.070574,0.8888888888888888,1.0,768.908542,71,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,866.015507,35,5648.070285714285,49.420611,0.8,0.0,816.594896,70,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-67.60364,3,16620.823333333334,12.465615,0.0,0.0,-80.069255,68,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,164.141565,23,37049.66565217391,213.035569,0.5652173913043478,0.2608695652173913,-48.894003999999995,72,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,135.58166400000002,12,12454.809166666666,37.364422,0.8333333333333334,0.1666666666666666,98.21724200000004,70,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-835.681235,37,12183.368108108109,112.696135,0.2432432432432432,0.1351351351351351,-948.37737,71,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-269.874439,67,12443.896567164178,208.435243,0.4776119402985074,0.1940298507462686,-478.309682,71,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-826.349863,28,13752.3275,96.266276,0.6428571428571429,0.1071428571428571,-922.616139,76,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1517.091342,83,13012.92530120482,270.01817,0.4939759036144578,0.4337349397590361,-1787.109512,73,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-164.08950099999998,9,14356.41,32.301915,0.5555555555555556,0.5555555555555556,-196.391416,76,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1925.519024,2,49039.315,24.519658,0.0,0.0,-1950.038682,71,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,152.85358,9,69.98444444444445,0.151157,1.0,0.0,152.70242299999998,52,Neutral,Neutral,Low Risk,Infrequent,Inconsistent
2024-01-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-3238.8,2,21447.5,-0.857899,0.0,0.0,-3237.942101,64,Greed,Greed,Low Risk,Infrequent,Inconsistent
2024-01-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,939.628542,3,17648.416666666668,13.236312,1.0,0.0,926.39223,64,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,813.2741110000001,19,21097.62263157895,100.2137,0.5789473684210527,0.5789473684210527,713.060411,60,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,68.93319,9,22178.942222222224,49.902619,0.3333333333333333,0.3333333333333333,19.030570999999995,63,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-0.17,3,246.28,0.177321,0.3333333333333333,0.3333333333333333,-0.347321,51,Neutral,Neutral,Low Risk,Frequent,Consistent Winner
2024-01-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-385.215235,23,9778.21608695652,56.224734,0.217391304347826,0.5217391304347826,-441.439969,51,Neutral,Neutral,High Risk,Infrequent,Inconsistent
2024-01-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-146.57487000000003,32,15789.33875,126.314695,0.46875,0.46875,-272.88956500000006,52,Neutral,Neutral,High Risk,Infrequent,Inconsistent
2024-01-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,266.58114600000005,5,626.02,0.7825230000000001,0.6,0.4,265.798623,56,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1166.248788,26,1032.783076923077,4.55823,0.5384615384615384,0.5,1161.690558,55,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-01-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,209.39217099999996,15,7046.065333333333,26.422742,0.6,0.5333333333333333,182.96942899999996,55,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-369.2447299999998,20,10098.5345,50.492667999999995,0.55,0.65,-419.73739799999976,50,Neutral,Neutral,High Risk,Infrequent,Inconsistent
2024-01-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-2808.353815,40,14065.32075,140.653189,0.25,0.325,-2949.007004,48,Neutral,Neutral,High Risk,Infrequent,Inconsistent
2024-01-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-3093.6293849999997,6,11094.355,16.641532,0.0,0.0,-3110.270917,52,Neutral,Neutral,High Risk,Infrequent,Inconsistent
2024-01-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,90.2,1,4673.0,-0.09346,1.0,0.0,90.29346,49,Neutral,Neutral,Low Risk,Frequent,Consistent Winner
2024-01-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-2478.06972,11,1646.2754545454543,-0.362176,0.0,0.0,-2477.707544,54,Neutral,Neutral,Low Risk,Infrequent,Inconsistent
2024-01-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1.71544,1,1035.29,0.248469,1.0,0.0,1.466971,55,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-01-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,484.847102,44,4679.5025,51.474516,1.0,0.2272727272727272,433.372586,55,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-173.65419100000005,19,10578.681052631578,50.248721,0.2631578947368421,0.7368421052631579,-223.902912,61,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-01-31,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-756.419851,434,7152.921221198157,776.091792,0.5299539170506913,0.5691244239631337,-1532.511643,60,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,456.423473,21,11349.052857142857,59.582517,0.6190476190476191,0.2857142857142857,396.840956,63,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,223.309187,12,16739.984166666665,50.219945,0.5,0.5,173.08924199999998,60,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,47.62389499999999,28,7220.983928571428,50.546876,0.3214285714285714,0.4285714285714285,-2.922981000000007,60,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-33.45419400000003,32,12037.2728125,96.298163,0.4375,0.28125,-129.75235700000002,60,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-322.52129,507,7495.4649704142,435.039383,0.3313609467455621,0.4871794871794871,-757.560673,64,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,241.24212,2,879.375,0.439686,1.0,1.0,240.802434,62,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,770.756024,4,3262.88,3.262879,1.0,0.25,767.493145,66,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,983.443176,7,1585.864285714286,2.77526,1.0,0.5714285714285714,980.667916,71,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,913.8817869999998,15,14483.186666666666,27.311909,0.4,0.7333333333333333,886.5698779999998,70,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-13,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,559.44389,14,142.85642857142858,-0.039992,1.0,0.0,559.483882,79,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3639.303169,80,1375.728125,12.900902,0.9875,0.275,3626.402267,74,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,191.296664,4,550.4275,0.550426,1.0,0.0,190.74623800000003,74,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1024.70728,49,769.5216326530611,4.293384,1.0,1.0,1020.413896,72,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,816.0903969999999,11,9886.37818181818,27.187538,0.7272727272727273,0.2727272727272727,788.9028589999999,72,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5491.768834,146,1582.4183561643836,6.901716,1.0,0.684931506849315,5484.867118,72,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1670.012358,54,1871.0716666666665,13.344262,1.0,0.3148148148148148,1656.668096,76,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,259.62944200000004,11,13909.74181818182,38.251788,0.6363636363636364,0.5454545454545454,221.37765400000004,76,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,477.6248299999999,68,1151.3538235294118,-1.5658180000000002,0.8970588235294118,0.1764705882352941,479.1906479999999,72,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4233.327343,75,1585.7798666666667,4.694967,1.0,0.4133333333333333,4228.632376,75,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-8.05898,3,8332.506666666666,6.249377,0.3333333333333333,0.0,-14.308357,75,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3053.31353,28,2137.427142857143,3.800494000000001,0.9642857142857144,0.2857142857142857,3049.513036,72,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,210.315294,4,427.575,0.427573,1.0,0.0,209.887721,72,Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1858.79857,15,3330.023333333333,1.431059,1.0,0.0,1857.367511,78,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2287.22275,52,3170.6871153846155,4.783613,0.7307692307692307,0.0,2282.439137,74,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1418.55293,138,399.3657246376812,-0.950019,0.9927536231884058,0.9347826086956522,1419.5029490000002,76,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-30.7705,2,1127.725,-0.045108,0.0,1.0,-30.725392,74,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4416.8473,34,2768.528529411765,1.863417,1.0,0.7647058823529411,4414.983883000001,72,Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,312.130593,35,2719.6625714285715,-1.903745,0.5428571428571428,0.6285714285714286,314.034338,79,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,576.38114,7,225.19285714285712,0.394084,1.0,0.0,575.9870559999999,79,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2503.747235,39,2192.2302564102565,0.3350499999999998,1.0,0.7435897435897436,2503.4121849999997,82,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,7701.374916,96,1811.39625,-0.908778,1.0,0.59375,7702.283694,80,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1320.804256,3,5775.696666666667,4.331772,1.0,0.0,1316.472484,80,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8244.241409,128,1868.2340625,4.129957,1.0,0.2265625,8240.111452000001,80,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1674.715167,21,1396.172380952381,-0.586383,1.0,0.9523809523809524,1675.30155,80,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1443.814567,7,420.5385714285714,0.735937,0.0,1.0,-1444.5505039999998,80,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8361.086245,54,3633.865370370371,1.383225,1.0,0.2777777777777778,8359.70302,83,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,26773.771643,257,3044.480194552529,14.306854,0.9844357976653696,0.5486381322957199,26759.464789,82,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1026.004099,13,290.5161538461538,0.94417,1.0,0.0,1025.059929,82,Extreme Greed,Greed,High Risk,Infrequent,Inconsistent
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,19791.026041,163,2624.1631288343556,3.842973,1.0,0.263803680981595,19787.183068,90,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6814.825139,72,2281.0998611111113,-0.0957450000000001,1.0,0.6388888888888888,6814.920883999999,75,Extreme Greed,Greed,Low Risk,Frequent,Consistent Winner
